algo,graph,grammar,s_edges,ram_kb,time_sec
T T 20 1,collections,grammar_1_1_1,63,294796.0,0.04987978935241699
T T 20 1,collections,grammar_1_1_1,63,164292.0,0.048795223236083984
T T 20 1,collections,grammar_1_1_1,63,164376.0,0.05013418197631836
