algo,graph,grammar,s_edges,ram_kb,time_sec
T T 10 1,cornerCases,grammar_1_1_1,149,164456.0,0.06008028984069824
T T 10 1,cornerCases,grammar_1_1_1,149,164668.0,0.058599233627319336
T T 10 1,cornerCases,grammar_1_1_1,149,164652.0,0.05865669250488281
